agency,"Buildings, Land & Capital Construction",Contracts with Governments & Nonprofits,Food & Provisions,Information Technology,"Insurance, Claims & Risk","Marketing, Promotion & Public Information",Medical & Health Services (operational),"Personnel, Training & Memberships","Printing, Postage & Mail",Professional & Contracted Services,"Rent, Leases & Facilities Operations","Roads, Bridges & Highways",Security & Protective Services,"Supplies, Equipment & Materials",Telecommunications & Connectivity,"Testing, Research & Appraisal","Travel, Lodging & Per Diem",Utilities,"Vehicles, Fuel & Fleet"
LEG DEPT-THE SENATE,167525.93,555300.0,0.0,165397.02,159566.9,15217.970000000001,9938.0,9995.0,108736.27,124454.25,32301.67,0.0,0.0,92455.92,19658.45,0.0,612101.4,0.0,18410.48
MENTAL HEALTH DEPT,26639647.13,1732439.7,3031865.4899999998,12201532.65,7648627.300000001,391809.18,31005637.29,385523.82,868271.91,11908347.51,6598315.53,0.0,3685417.84,15709016.69,3747836.34,47140.98,987796.25,5463718.05,1615055.75
MUSEUM COMMISSION,524135.94,1624.0,0.0,294125.5,82292.0,201552.31,0.0,61339.31,91655.5,444158.06,1920670.92,0.0,0.0,732394.1,48538.56,0.0,63626.49,0.0,11819.18
OFFICE OF REGULATORY STAFF,0.0,44149.130000000005,0.0,2299349.85,106219.55,210957.39,0.0,105624.16,32921.76,2993431.31,42332.69,0.0,0.0,1354622.82,74474403.25,0.0,110022.08,0.0,149623.29
OFFICE OF RESILIENCE,569340.19,503539.11,0.0,654597.54,99278.65,57611.11,0.0,5225.62,4436.44,29049661.56,46565.7,0.0,0.0,60386.61,70641.3,9537835.92,192962.24,0.0,143155.64
OFFICE OF THE INSP GENERAL,8360.37,0.0,0.0,104498.28,24102.05,0.0,0.0,5039.0,221.71,3526.74,11079.74,0.0,0.0,6191.49,12984.62,0.0,31418.09,0.0,12579.1
OPIOID RECOVERY FUND BOARD,0.0,0.0,0.0,85557.8,0.0,0.0,0.0,0.0,0.0,83032.64,0.0,0.0,0.0,221.87,5307.26,0.0,12989.789999999999,0.0,0.0
PARKS RECREATION & TOURISM,18047830.77,860770.61,17277.59,1156205.6,1341946.7,16029074.34,9445.13,102369.08,460402.4,1371708.66,7191156.56,847369.8099999999,82819.14,8703403.56,1412457.66,329983.89,618344.33,4236114.33,1967995.73
PATRIOTS POINT DEV AUTH,114037.48999999999,0.0,0.0,238301.55000000002,287279.51999999996,767962.39,0.0,37698.34,47503.29,1138374.69,84517.65,0.0,62867.55,1336462.26,175616.57,26250.0,72218.77,382428.13,46348.93
PORTS AUTHORITY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,255790373.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
